labels,preds,error
1.469999945163726673e+00,1.443740633726119826e+00,2.625931143760684705e-02
1.349999994635581846e+00,1.410305102467536820e+00,6.030510783195497382e-02
1.440000046491622943e+00,1.345785191655158863e+00,9.421485483646407921e-02
1.339999949336051932e+00,1.313434793651103938e+00,2.656515568494799417e-02
1.330000022649765024e+00,1.252713768482208057e+00,7.728625416755696698e-02
1.279999974071979407e+00,1.198402899503707708e+00,8.159707456827169914e-02
1.170000009536743102e+00,1.159571948349475745e+00,1.042806118726735676e-02
1.149999978244304666e+00,1.104690312445163691e+00,4.530966579914097458e-02
1.099999988973140663e+00,1.055310492515563858e+00,4.468949645757680500e-02
9.699999931454656998e-01,1.019151957035064671e+00,4.915196388959897078e-02
1.059999985694885183e+00,9.884409126639366328e-01,7.155907303094855010e-02
9.900000244379043579e-01,9.744474560022353682e-01,1.555256843566898972e-02
9.399999758601187416e-01,9.467318704724312362e-01,6.731894612312494530e-03
9.200000038743019193e-01,9.054747447371482849e-01,1.452525913715363437e-02
8.800000005960464389e-01,8.785072529315947065e-01,1.492747664451732348e-03
8.199999956786632183e-01,8.498159548640251693e-01,2.981595918536195100e-02
7.700000064074992157e-01,8.092939347028731412e-01,3.929392829537392551e-02
8.499999833106994807e-01,7.738655526936053519e-01,7.613443061709412873e-02
7.999999940395354781e-01,7.546174997091292802e-01,4.538249433040619785e-02
8.199999956786632183e-01,7.416488021612166470e-01,7.835119351744657124e-02
8.199999956786632183e-01,7.461774261295794908e-01,7.382256954908372748e-02
8.800000005960464389e-01,7.581266428530215595e-01,1.218733577430248793e-01
9.399999758601187416e-01,7.880620455741882413e-01,1.519379302859305003e-01
9.500000211596488775e-01,8.241675609350204157e-01,1.258324602246284618e-01
9.399999758601187416e-01,8.575067189335823237e-01,8.249325692653641795e-02
9.399999758601187416e-01,8.653117668628691472e-01,7.468820899724959439e-02
9.600000071525573997e-01,8.781875902414322255e-01,8.181241691112517422e-02
9.100000178813933971e-01,8.880650487542152138e-01,2.193496912717818326e-02
8.899999865889549611e-01,8.834556788206100464e-01,6.544307768344914678e-03
9.299999898672104415e-01,8.708617991209028908e-01,5.913819074630755068e-02
9.500000211596488775e-01,8.594311001896857150e-01,9.056892096996316255e-02
1.009999996423721180e+00,8.500647461414336803e-01,1.599352502822875000e-01
1.009999996423721180e+00,8.735170158743856827e-01,1.364829805493354975e-01
1.059999985694885183e+00,8.863303893804550526e-01,1.736695963144301302e-01
1.080000016987323619e+00,9.172745087742804060e-01,1.627255082130432129e-01
1.019999982416629702e+00,9.366010540723799238e-01,8.339892834424977863e-02
1.030000027716159838e+00,9.520073130726813826e-01,7.799271464347845573e-02
9.699999931454656998e-01,9.594344592094421476e-01,1.056553393602355229e-02
